date,unemployment,unemployment_yoy_change
1973-11-01,4.8,-9.433962264150942
1973-12-01,4.9,-5.769230769230771
1974-01-01,5.1,4.081632653061207
1974-02-01,5.2,4.0000000000000036
1974-03-01,5.1,4.081632653061207
1974-04-01,5.1,2.0000000000000018
1974-05-01,5.1,4.081632653061207
1974-06-01,5.4,10.20408163265305
1974-07-01,5.5,14.583333333333348
1974-08-01,5.5,14.583333333333348
1974-09-01,5.9,22.916666666666675
1974-10-01,6.0,30.434782608695656
1974-11-01,6.6,37.5
1974-12-01,7.2,46.93877551020407
1975-01-01,8.1,58.82352941176472
1975-02-01,8.1,55.769230769230745
1975-03-01,8.6,68.62745098039215
1975-04-01,8.8,72.54901960784316
1975-05-01,9.0,76.47058823529413
1975-06-01,8.8,62.962962962962976
1975-07-01,8.6,56.363636363636346
1975-08-01,8.4,52.727272727272734
1975-09-01,8.4,42.3728813559322
1975-10-01,8.4,40.000000000000014
1975-11-01,8.3,25.75757575757578
1975-12-01,8.2,13.888888888888884
1976-01-01,7.9,-2.4691358024691246
1976-02-01,7.7,-4.93827160493826
1976-03-01,7.6,-11.627906976744185
1976-04-01,7.7,-12.5
1976-05-01,7.4,-17.77777777777777
1976-06-01,7.6,-13.636363636363647
1976-07-01,7.8,-9.302325581395344
1976-08-01,7.8,-7.142857142857151
1976-09-01,7.6,-9.523809523809534
1976-10-01,7.7,-8.333333333333337
1976-11-01,7.8,-6.024096385542177
1976-12-01,7.8,-4.8780487804877986
1977-01-01,7.5,-5.063291139240511
1977-02-01,7.6,-1.2987012987013102
1977-03-01,7.4,-2.631578947368407
1977-04-01,7.2,-6.493506493506496
1977-05-01,7.0,-5.405405405405405
1977-06-01,7.2,-5.263157894736836
1977-07-01,6.9,-11.538461538461531
1977-08-01,7.0,-10.256410256410254
1977-09-01,6.8,-10.526315789473683
1977-10-01,6.8,-11.688311688311693
1977-11-01,6.8,-12.82051282051282
1977-12-01,6.4,-17.948717948717942
1978-01-01,6.4,-14.66666666666666
1978-02-01,6.3,-17.105263157894733
1978-03-01,6.3,-14.864864864864868
1978-04-01,6.1,-15.27777777777779
1978-05-01,6.0,-14.28571428571429
1978-06-01,5.9,-18.055555555555557
1978-07-01,6.2,-10.144927536231885
1978-08-01,5.9,-15.714285714285714
1978-09-01,6.0,-11.764705882352944
1978-10-01,5.8,-14.70588235294118
1978-11-01,5.9,-13.235294117647056
1978-12-01,6.0,-6.25
1979-01-01,5.9,-7.8125
1979-02-01,5.9,-6.349206349206337
1979-03-01,5.8,-7.936507936507942
1979-04-01,5.8,-4.91803278688524
1979-05-01,5.6,-6.666666666666677
1979-06-01,5.7,-3.3898305084745783
1979-07-01,5.7,-8.064516129032262
1979-08-01,6.0,1.6949152542372836
1979-09-01,5.9,-1.6666666666666607
1979-10-01,6.0,3.4482758620689724
1979-11-01,5.9,0.0
1979-12-01,6.0,0.0
1980-01-01,6.3,6.7796610169491345
1980-02-01,6.3,6.7796610169491345
1980-03-01,6.3,8.62068965517242
1980-04-01,6.9,18.965517241379317
1980-05-01,7.5,33.928571428571445
1980-06-01,7.6,33.33333333333333
1980-07-01,7.8,36.8421052631579
1980-08-01,7.7,28.333333333333343
1980-09-01,7.5,27.118644067796605
1980-10-01,7.5,25.0
1980-11-01,7.5,27.118644067796605
1980-12-01,7.2,19.999999999999996
1981-01-01,7.5,19.047619047619047
1981-02-01,7.4,17.460317460317466
1981-03-01,7.4,17.460317460317466
1981-04-01,7.2,4.347826086956519
1981-05-01,7.5,0.0
1981-06-01,7.5,-1.3157894736842035
1981-07-01,7.2,-7.692307692307687
1981-08-01,7.4,-3.8961038961038974
1981-09-01,7.6,1.3333333333333197
1981-10-01,7.9,5.3333333333333455
1981-11-01,8.3,10.666666666666668
1981-12-01,8.5,18.055555555555557
1982-01-01,8.6,14.666666666666671
1982-02-01,8.9,20.270270270270263
