date,ppi,ppi_yoy_change
1922-01-01,15.7,-19.897959183673475
1922-02-01,16.0,-11.602209944751385
1922-03-01,16.0,-9.6045197740113
1922-04-01,16.1,-5.294117647058815
1922-05-01,16.6,0.0
1922-06-01,16.6,3.105590062111796
1922-07-01,17.1,6.211180124223592
1922-08-01,17.0,5.590062111801242
1922-09-01,17.1,6.211180124223592
1922-10-01,17.2,6.172839506172845
1922-11-01,17.3,6.790123456790131
1922-12-01,17.3,8.125000000000004
1923-01-01,17.6,12.101910828025497
1923-02-01,17.8,11.250000000000004
1923-03-01,18.0,12.5
1923-04-01,17.9,11.180124223602462
1923-05-01,17.5,5.421686746987953
1923-06-01,17.3,4.216867469879504
1923-07-01,17.0,-0.5847953216374324
1923-08-01,16.9,-0.5882352941176561
1923-09-01,17.2,0.5847953216374213
1923-10-01,17.1,-0.5813953488371992
1923-11-01,17.0,-1.7341040462427793
1923-12-01,16.9,-2.3121387283237094
1924-01-01,17.2,-2.272727272727282
1924-02-01,17.2,-3.370786516853941
1924-03-01,17.0,-5.555555555555558
1924-04-01,16.7,-6.703910614525133
1924-05-01,16.5,-5.714285714285716
1924-06-01,16.4,-5.202312138728338
1924-07-01,16.5,-2.941176470588236
1924-08-01,16.7,-1.1834319526627168
1924-09-01,16.7,-2.9069767441860517
1924-10-01,16.9,-1.1695906432748648
1924-11-01,17.1,0.588235294117645
1924-12-01,17.5,3.550295857988184
1925-01-01,17.7,2.9069767441860517
1925-02-01,17.9,4.06976744186045
1925-03-01,17.9,5.294117647058805
1925-04-01,17.5,4.790419161676662
1925-05-01,17.5,6.060606060606055
1925-06-01,17.7,7.92682926829269
1925-07-01,18.0,9.090909090909083
1925-08-01,17.9,7.18562874251496
1925-09-01,17.8,6.586826347305408
1925-10-01,17.8,5.3254437869822535
1925-11-01,18.0,5.263157894736836
1925-12-01,17.8,1.7142857142857126
1926-01-01,17.8,0.5649717514124353
1926-02-01,17.6,-1.6759776536312665
1926-03-01,17.3,-3.351955307262555
1926-04-01,17.3,-1.1428571428571344
1926-05-01,17.3,-1.1428571428571344
1926-06-01,17.3,-2.259887005649708
1926-07-01,17.1,-4.999999999999993
1926-08-01,17.1,-4.469273743016744
1926-09-01,17.2,-3.370786516853941
1926-10-01,17.1,-3.93258426966292
1926-11-01,17.0,-5.555555555555558
1926-12-01,16.9,-5.056179775280912
1927-01-01,16.4,-7.86516853932585
1927-02-01,16.6,-5.681818181818176
1927-03-01,16.5,-4.624277456647407
1927-04-01,16.3,-5.780346820809246
1927-05-01,16.2,-6.358381502890187
1927-06-01,16.2,-6.358381502890187
1927-07-01,16.2,-5.2631578947368585
1927-08-01,16.4,-4.093567251462005
1927-09-01,16.6,-3.48837209302324
1927-10-01,16.7,-2.3391812865497186
1927-11-01,16.6,-2.35294117647058
1927-12-01,16.6,-1.7751479289940697
1928-01-01,16.6,1.2195121951219745
1928-02-01,16.5,-0.6024096385542244
1928-03-01,16.5,0.0
1928-04-01,16.7,2.4539877300613355
1928-05-01,16.8,3.70370370370372
1928-06-01,16.7,3.0864197530864113
